latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p90_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_max_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p99_value
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,138.10000000000002,220.0,223.0,220,201,201.0,223,32,208.74999999999983
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
262,148.10000000000002,250.0,275.0,250,180,210.0,275,50,211.06999999999988
193,156.0,202.0,265.0,202,200,200.0,265,35,279.11999999999955
193,156.0,202.0,265.0,202,200,200.0,265,35,279.11999999999955
193,156.0,202.0,265.0,202,200,200.0,265,35,279.11999999999955
193,156.0,202.0,265.0,202,200,200.0,265,35,279.11999999999955
193,156.0,202.0,265.0,202,200,200.0,265,35,279.11999999999955
193,156.0,202.0,265.0,202,200,200.0,265,35,279.11999999999955
