Window_join_the_incoming_items.currentInput2Watermark_min,Window_join_the_incoming_items.currentInput2Watermark_max,Window_join_the_incoming_items.currentInput2Watermark_avg,Window_join_the_incoming_items.currentInput2Watermark_sum,Window_join_the_incoming_items.currentInputWatermark_min,Window_join_the_incoming_items.currentInputWatermark_max,Window_join_the_incoming_items.currentInputWatermark_avg,Window_join_the_incoming_items.currentInputWatermark_sum,Window_join_the_incoming_items.numRecordsIn_min,Window_join_the_incoming_items.numRecordsIn_max,Window_join_the_incoming_items.numRecordsIn_avg,Window_join_the_incoming_items.numRecordsIn_sum,Window_join_the_incoming_items.numRecordsOut_min,Window_join_the_incoming_items.numRecordsOut_max,Window_join_the_incoming_items.numRecordsOut_avg,Window_join_the_incoming_items.numRecordsOut_sum,Window_join_the_incoming_items.numRecordsOutPerSecond_min,Window_join_the_incoming_items.numRecordsOutPerSecond_max,Window_join_the_incoming_items.numRecordsOutPerSecond_avg,Window_join_the_incoming_items.numRecordsOutPerSecond_sum,Window_join_the_incoming_items.numRecordsInPerSecond_min,Window_join_the_incoming_items.numRecordsInPerSecond_max,Window_join_the_incoming_items.numRecordsInPerSecond_avg,Window_join_the_incoming_items.numRecordsInPerSecond_sum,Window_join_the_incoming_items.currentOutputWatermark_min,Window_join_the_incoming_items.currentOutputWatermark_max,Window_join_the_incoming_items.currentOutputWatermark_avg,Window_join_the_incoming_items.currentOutputWatermark_sum,Window_join_the_incoming_items.currentInput1Watermark_min,Window_join_the_incoming_items.currentInput1Watermark_max,Window_join_the_incoming_items.currentInput1Watermark_avg,Window_join_the_incoming_items.currentInput1Watermark_sum
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,3215.0,3987.0,3581.0,14324.0,47174.0,57719.0,52300.0,209200.0,567.2833333333333,739.35,659.9416666666666,2639.7666666666664,39.016666666666666,51.81666666666667,45.6375,182.55,1618263226269.0,1618263226419.0,1618263226356.5,6473052905426.0,1618263226319.0,1618263226419.0,1618263226394.0,6473052905576.0
1618263236489.0,1618263236489.0,1618263236489.0,6473052945956.0,1618263236489.0,1618263236489.0,1618263236489.0,6473052945956.0,6070.0,7054.0,6444.25,25777.0,89850.0,104908.0,95174.0,380696.0,1263.55,1476.5166666666667,1370.7333333333333,5482.933333333333,85.83333333333333,99.68333333333334,92.87916666666666,371.51666666666665,1618263236489.0,1618263236489.0,1618263236489.0,6473052945956.0,1618263236489.0,1618263236489.0,1618263236489.0,6473052945956.0
