Status.JVM.GarbageCollector.G1_Young_Generation.Count_min,Status.JVM.GarbageCollector.G1_Young_Generation.Count_max,Status.JVM.GarbageCollector.G1_Young_Generation.Count_avg,Status.JVM.GarbageCollector.G1_Young_Generation.Count_sum,Status.JVM.CPU.Load_min,Status.JVM.CPU.Load_max,Status.JVM.CPU.Load_avg,Status.JVM.CPU.Load_sum,Status.JVM.Memory.Heap.Used_min,Status.JVM.Memory.Heap.Used_max,Status.JVM.Memory.Heap.Used_avg,Status.JVM.Memory.Heap.Used_sum,Status.JVM.Memory.Heap.Committed_min,Status.JVM.Memory.Heap.Committed_max,Status.JVM.Memory.Heap.Committed_avg,Status.JVM.Memory.Heap.Committed_sum,Status.JVM.Memory.Heap.Max_min,Status.JVM.Memory.Heap.Max_max,Status.JVM.Memory.Heap.Max_avg,Status.JVM.Memory.Heap.Max_sum,Status.JVM.Memory.NonHeap.Used_min,Status.JVM.Memory.NonHeap.Used_max,Status.JVM.Memory.NonHeap.Used_avg,Status.JVM.Memory.NonHeap.Used_sum,Status.JVM.Memory.NonHeap.Committed_min,Status.JVM.Memory.NonHeap.Committed_max,Status.JVM.Memory.NonHeap.Committed_avg,Status.JVM.Memory.NonHeap.Committed_sum,Status.JVM.Memory.NonHeap.Max_min,Status.JVM.Memory.NonHeap.Max_max,Status.JVM.Memory.NonHeap.Max_avg,Status.JVM.Memory.NonHeap.Max_sum
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
423.0,423.0,423.0,423.0,0.2545258262747052,0.2545258262747052,0.2545258262747052,0.2545258262747052,300183256.0,300183256.0,300183256.0,300183256.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,120762088.0,120762088.0,120762088.0,120762088.0,127664128.0,127664128.0,127664128.0,127664128.0,780140544.0,780140544.0,780140544.0,780140544.0
535.0,535.0,535.0,535.0,0.23128064489321035,0.23128064489321035,0.23128064489321035,0.23128064489321035,251214648.0,251214648.0,251214648.0,251214648.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,121283512.0,121283512.0,121283512.0,121283512.0,127926272.0,127926272.0,127926272.0,127926272.0,780140544.0,780140544.0,780140544.0,780140544.0
535.0,535.0,535.0,535.0,0.23128064489321035,0.23128064489321035,0.23128064489321035,0.23128064489321035,251214648.0,251214648.0,251214648.0,251214648.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,121283512.0,121283512.0,121283512.0,121283512.0,127926272.0,127926272.0,127926272.0,127926272.0,780140544.0,780140544.0,780140544.0,780140544.0
